FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.1488,United Kingdom,16921d3e-9f0b-4cec-b4c6-ff4d4025,Operational,LEMAN AD2,PLATFORM,LEMAN AD2,ROYAL DUTCH SHELL,,,,,01/09/1969,,,48538.0165309,,POINT (53.0897827530001 2.13006455200002)
platforms.1489,United Kingdom,cc344de9-8dbd-4d96-92d9-1d0ce4fa,Operational,FORTIES CHARLIE,PLATFORM,FORTIES CHARLIE,APACHE CORPORATION,,,,,01/06/1975,,,158087.692208,,POINT (57.7263116130001 0.845940364000057)
platforms.1490,United Kingdom,295c7972-df3f-4ae8-b9ab-da37e338,Operational,48/29B,PLATFORM,SATELLITE PLATFORM,ENI UK LIMITED,,,,,,,,25580.1125675,,POINT (53.0539947760001 1.68468137500003)
platforms.1491,United Kingdom,f882d2c1-cd15-46c5-bfd5-09e53ea0,Operational,DUNBAR,PLATFORM,WELLHEAD ACCOMMODATION STEEL,TOTALENERGIES UPSTREAM UK LIMITED,,,,,,,,132331.550958,,POINT (60.6289089540001 1.65087775100005)
platforms.1492,United Kingdom,1aa14b09-f775-48f2-8368-56e6e822,Operational,JUDY,PLATFORM,PRODUCTION DRILLING STEEL,CHRYSAOR HOLDINGS,,,,,,,,263846.798155,Asset transfer from ConocoPhillips to Chrysaor October 2019,POINT (56.696796519 2.33698546600004)
platforms.1493,United Kingdom,bd81abba-8bd7-495c-a1e5-9e9eb992,Closed down,THAMES AR,PLATFORM,RISER STEEL,PERENCO OIL & GAS,,,,,,,,69720.4705019,Platform Removed,POINT (53.083171238 2.54680880200004)
platforms.1494,United Kingdom,9f7111f4-73c1-4007-87f1-d2c57c9e,Operational,TERN,PLATFORM,TERN PLATFORM,TAQA EUROPA B.V.,,,,,25/09/1996,,,103695.24127,,POINT (61.2755194110001 0.917934580000065)
platforms.1495,United Kingdom,79da2326-78ab-4269-a2d4-061d5667,Operational,CARDINAL BUOY 1,BUOY,BANFF EAST CARDINAL BUOY,CNR INTERNATIONAL,,,,,,,,194629.166035,,POINT (57.013710368 1.33369563800005)
platforms.1496,United Kingdom,e4cf3fcd-8090-49b9-a2e7-8db74c7c,Operational,SOUTH MORECAMBE DP8,PLATFORM,REMOTE DRILLING PLATFORM,SPIRIT ENERGY,,,,,,,,32351.5460646,,POINT (53.891047084 -3.62417191199995)
platforms.1497,United Kingdom,426436f1-9f42-4f29-825f-c12f98fb,Decommissioned,BEATRICE AD,PLATFORM,DRILLING & ACCOMMODATION STEEL,REPSOL SINOPEC RESOURCES,,,,,,,,22606.7700869,,POINT (58.1146333730001 -3.08768329399993)
platforms.1498,United Kingdom,f939741f-e7f3-49cb-96a0-ff3b62fc,Operational,CHISWICK PLATFORM,PLATFORM,CHISWICK PLATFORM,SPIRIT ENERGY,,,,,19/08/2006,,,146449.593141,,POINT (53.9392079260001 2.74579445700005)
platforms.1499,United Kingdom,282278d6-245e-4780-ad7c-8b03d04e,Operational,CELTIC DEEP SMART BUOY KFB20/2012 AREA5,BUOY,CELTIC DEEP SMART BUOY KFB20/2012 AREA5,CEFAS,,,,,14/09/2012,,,108064.801859,,POINT (51.1386727140001 -6.56214788399996)
platforms.1600,United Kingdom,8ae677f9-d558-41b6-b7f9-39f79067,Operational,BRIGANTINE BR,PLATFORM,BRIGANTINE BR,ROYAL DUTCH SHELL,,,,,,,,102938.498953,,POINT (53.4419764830001 2.69680532800004)
